n,i,t,p,1_1,1_2,1_3,1_4,1_5,1_6,1_7,2_1,2_2,2_3,2_4,2_5,2_6,2_7,3_1,3_2,3_3,3_4,3_5,3_6,3_7,4_1,4_2,4_3,4_4,4_5,4_6,4_7
19,25,3, x, -0.0,1.0,1.0,1.0,1.0,-0.0,0.0,-0.0,1.0,1.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,-0.0,0.0,1.0,1.0,1.0,-0.0,-0.0,1.0
20,27,2, x, 1.0,-0.0,-0.0,1.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,1.0,1.0,1.0,-0.0,-0.0,0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0
21,29,1, x, -0.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,-0.0,2.0,2.0,2.0,2.0,1.0
22,29,2, x, -0.0,-0.0,0.0,2.0,2.0,2.0,-0.0,-0.0,0.0,-0.0,0.0,2.0,2.0,-0.0,0.0,-0.0,2.0,2.0,2.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2.0,2.0,-0.0
23,30,1, x, -0.0,1.0,1.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,-0.0,1.0,-0.0
24,30,2, x, 1.0,-0.0,1.0,1.0,4.0,2.0,-0.0,-0.0,-0.0,-0.0,3.0,4.0,4.0,-0.0,-0.0,0.0,-0.0,2.0,4.0,3.0,-0.0,-0.0,2.0,-0.0,4.0,4.0,1.0,-0.0
25,39,3, x, 1.0,2.0,2.0,-0.0,-0.0,2.0,1.0,1.0,2.0,2.0,-0.0,-0.0,2.0,1.0,1.0,2.0,2.0,-0.0,-0.0,2.0,1.0,1.0,2.0,2.0,0.0,-0.0,2.0,1.0
26,43,2, x, -0.0,1.0,1.0,0.0,2.0,-0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,-0.0,-0.0,1.0,1.0,0.0,2.0,-0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,-0.0
27,44,2, x, 3.0,-0.0,0.0,3.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.0,3.0,-0.0,3.0,3.0,-0.0,-0.0,3.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.0,3.0,-0.0,3.0
28,45,2, x, -0.0,0.0,0.0,0.0,-0.0,1.0,1.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,1.0,1.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0


