tournum tourtype week period day shiftlength startwin
30 1 2 21 3 16 21
30 1 3 21 3 16 21
30 1 4 21 3 16 21
30 1 1 21 4 16 21
30 1 2 21 4 16 21
30 1 3 21 4 16 21
30 1 4 21 4 16 21
30 1 1 21 5 16 21
30 1 2 21 5 16 21
30 1 3 21 5 16 21
30 1 4 21 5 16 21
30 1 1 21 6 16 21
30 1 2 21 6 16 21
30 1 3 21 6 16 21
30 1 4 21 6 16 21
31 1 1 21 2 16 21
31 1 2 21 2 16 21
31 1 3 21 2 16 21
31 1 4 21 2 16 21
31 1 1 21 3 16 21
31 1 2 21 3 16 21
31 1 3 21 3 16 21
31 1 4 21 3 16 21
31 1 1 21 4 16 21
31 1 2 21 4 16 21
31 1 3 21 4 16 21
31 1 4 21 4 16 21
31 1 1 21 5 16 21
31 1 2 21 5 16 21
31 1 3 21 5 16 21
31 1 4 21 5 16 21
31 1 1 21 6 16 21
31 1 2 21 6 16 21
31 1 3 21 6 16 21
31 1 4 21 6 16 21
32 2 1 22 2 16 22
32 2 2 22 2 16 22
32 2 3 22 2 16 22
32 2 4 22 3 16 22
32 2 2 22 4 16 22
32 2 4 22 4 16 22
32 2 3 22 5 16 22
32 2 4 22 5 16 22
32 2 1 22 6 16 22
32 2 2 22 6 16 22
33 2 3 22 2 16 22
33 2 4 22 2 16 22
33 2 1 22 3 16 22
33 2 4 22 3 16 22
33 2 2 22 4 16 22
33 2 1 22 5 16 22
33 2 2 22 5 16 22
33 2 2 22 6 16 22
33 2 3 22 6 16 22
33 2 4 22 6 16 22
34 2 2 22 2 16 22
34 2 3 22 2 16 22
34 2 1 22 3 16 22
34 2 2 22 3 16 22
34 2 4 22 4 16 22
34 2 4 22 5 16 22
34 2 1 22 6 16 22
34 2 2 22 6 16 22
34 2 3 22 6 16 22
34 2 4 22 6 16 22
35 2 2 22 2 16 22
35 2 1 22 3 16 22
35 2 2 22 3 16 22
35 2 4 22 3 16 22
35 2 1 22 4 16 22
35 2 3 22 4 16 22
35 2 3 22 5 16 22
35 2 4 22 5 16 22
35 2 2 22 6 16 22
35 2 4 22 6 16 22
36 1 1 23 2 16 23
36 1 2 23 2 16 23
36 1 3 23 2 16 23
36 1 4 23 2 16 23
36 1 1 23 3 16 23
36 1 2 23 3 16 23
36 1 3 23 3 16 23
36 1 4 23 3 16 23
36 1 1 23 4 16 23
36 1 2 23 4 16 23
36 1 3 23 4 16 23
36 1 4 23 4 16 23
36 1 1 23 5 16 23
36 1 2 23 5 16 23
36 1 3 23 5 16 23
36 1 4 23 5 16 23
36 1 1 23 6 16 23
36 1 2 23 6 16 23
36 1 3 23 6 16 23
36 1 4 23 6 16 23
37 2 1 24 2 16 24
37 2 2 24 2 16 24
37 2 3 24 3 16 24
37 2 4 24 3 16 24
37 2 2 24 4 16 24
37 2 2 24 5 16 24
37 2 4 24 5 16 24
37 2 1 24 6 16 24
37 2 3 24 6 16 24
37 2 4 24 6 16 24
38 2 3 24 2 16 24
38 2 4 24 2 16 24
38 2 2 24 3 16 24
38 2 1 24 4 16 24
38 2 2 24 4 16 24
38 2 4 24 5 16 24
38 2 1 24 6 16 24
38 2 2 24 6 16 24
38 2 3 24 6 16 24
38 2 4 24 6 16 24
39 2 1 24 2 16 24
39 2 2 24 2 16 24
39 2 4 24 2 16 24
39 2 2 24 3 16 24
39 2 3 24 3 16 24
39 2 4 24 3 16 24
39 2 1 24 4 16 24
39 2 2 24 5 16 24
39 2 4 24 5 16 24
39 2 3 24 6 16 24
40 1 1 25 2 16 25
40 1 2 25 2 16 25
40 1 3 25 2 16 25
40 1 4 25 2 16 25
40 1 1 25 3 16 25
40 1 2 25 3 16 25
40 1 3 25 3 16 25
40 1 4 25 3 16 25
40 1 1 25 4 16 25
40 1 2 25 4 16 25
40 1 3 25 4 16 25
40 1 4 25 4 16 25
40 1 1 25 5 16 25
40 1 2 25 5 16 25
40 1 3 25 5 16 25
40 1 4 25 5 16 25
40 1 1 25 6 16 25
40 1 2 25 6 16 25
40 1 3 25 6 16 25
40 1 4 25 6 16 25
41 2 1 25 2 16 25
41 2 2 25 2 16 25
41 2 2 25 3 16 25
41 2 3 25 3 16 25
41 2 2 25 4 16 25
41 2 4 25 4 16 25
41 2 1 25 5 16 25
41 2 4 25 5 16 25
41 2 3 25 6 16 25
41 2 4 25 6 16 25
42 1 1 26 2 16 26
42 1 2 26 2 16 26
42 1 3 26 2 16 26
42 1 4 26 2 16 26
42 1 1 26 3 16 26
42 1 2 26 3 16 26
42 1 3 26 3 16 26
42 1 4 26 3 16 26
42 1 1 26 4 16 26
42 1 2 26 4 16 26
42 1 3 26 4 16 26
42 1 4 26 4 16 26
42 1 1 26 5 16 26
42 1 2 26 5 16 26
42 1 3 26 5 16 26
42 1 4 26 5 16 26
42 1 1 26 6 16 26
42 1 2 26 6 16 26
42 1 3 26 6 16 26
42 1 4 26 6 16 26
43 2 2 27 2 16 27
43 2 1 27 3 16 27
43 2 2 27 3 16 27
43 2 3 27 3 16 27
43 2 4 27 3 16 27
43 2 1 27 4 16 27
43 2 3 27 4 16 27
43 2 4 27 4 16 27
43 2 4 27 5 16 27
43 2 2 27 6 16 27
44 2 1 27 2 16 27
44 2 2 27 2 16 27
44 2 3 27 2 16 27
44 2 2 27 3 16 27
44 2 3 27 3 16 27
44 2 4 27 3 16 27
44 2 1 27 4 16 27
44 2 4 27 4 16 27
44 2 2 27 6 16 27
44 2 4 27 6 16 27
45 1 1 28 2 16 28
45 1 2 28 2 16 28
45 1 3 28 2 16 28
45 1 4 28 2 16 28
45 1 1 28 3 16 28
45 1 2 28 3 16 28
45 1 3 28 3 16 28
45 1 4 28 3 16 28
45 1 1 28 4 16 28
45 1 2 28 4 16 28
