n,i,t,p,1_1,1_2,1_3,1_4,1_5,1_6,1_7,2_1,2_2,2_3,2_4,2_5,2_6,2_7,3_1,3_2,3_3,3_4,3_5,3_6,3_7,4_1,4_2,4_3,4_4,4_5,4_6,4_7
9,17,1, x, 1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
10,17,2, x, 0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
11,17,3, x, 0.0,0.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,0.0
12,18,2, x, 1.0,6.0,0.0,0.0,7.0,5.0,0.0,0.0,6.0,0.0,0.0,7.0,3.0,0.0,0.0,7.0,0.0,0.0,7.0,4.0,1.0,0.0,6.0,0.0,0.0,7.0,2.0,1.0
13,18,3, x, 0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
14,19,3, x, 0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
15,20,2, x, 0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
16,20,3, x, 0.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0
17,21,2, x, 0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
18,21,3, x, 1.0,1.0,4.0,4.0,1.0,3.0,2.0,0.0,2.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,2.0,4.0,0.0,0.0,2.0,4.0,4.0,1.0,4.0,1.0
