tournum tourtype week period day shiftlength startwin
27 2 1 20 2 16 19
27 2 3 20 4 16 19
27 2 1 21 4 16 19
27 2 2 21 4 16 19
27 2 4 21 4 16 19
27 2 4 22 2 16 19
27 2 3 22 3 16 19
27 2 2 22 6 16 19
27 2 4 22 6 16 19
28 2 1 19 2 16 19
28 2 4 20 4 16 19
28 2 2 20 5 16 19
28 2 1 21 4 16 19
28 2 3 21 5 16 19
28 2 2 22 2 16 19
28 2 3 22 2 16 19
28 2 2 22 3 16 19
28 2 4 22 5 16 19
28 2 4 22 6 16 19
29 2 4 19 3 16 19
29 2 1 19 4 16 19
29 2 2 20 4 16 19
29 2 4 20 6 16 19
29 2 2 21 2 16 19
29 2 1 21 5 16 19
29 2 4 21 5 16 19
29 2 3 22 3 16 19
29 2 3 22 4 16 19
29 2 2 22 5 16 19
30 2 1 19 2 16 19
30 2 2 19 2 16 19
30 2 1 19 4 16 19
30 2 4 19 4 16 19
30 2 3 19 5 16 19
30 2 3 20 2 16 19
30 2 2 20 3 16 19
30 2 4 21 3 16 19
30 2 4 22 2 16 19
30 2 2 22 6 16 19
31 3 3 20 4 20 20
31 3 1 21 3 20 20
31 3 2 21 3 20 20
31 3 2 21 4 20 20
31 3 4 21 4 20 20
31 3 1 21 5 20 20
31 3 3 21 5 20 20
31 3 1 21 6 20 20
31 3 4 22 2 20 20
31 3 3 22 3 20 20
31 3 1 22 4 20 20
31 3 4 22 5 20 20
31 3 2 22 6 20 20
31 3 2 23 2 20 20
31 3 3 23 2 20 20
31 3 4 23 6 20 20
32 3 1 20 2 20 20
32 3 2 20 2 20 20
32 3 3 20 5 20 20
32 3 4 20 5 20 20
32 3 3 21 3 20 20
32 3 3 21 4 20 20
32 3 2 21 5 20 20
32 3 2 21 6 20 20
32 3 3 22 2 20 20
32 3 4 23 2 20 20
32 3 1 23 3 20 20
32 3 4 23 3 20 20
32 3 1 23 4 20 20
32 3 2 23 4 20 20
32 3 4 23 4 20 20
32 3 1 23 6 20 20
33 1 1 21 2 16 21
33 1 4 21 2 16 21
33 1 4 21 3 16 21
33 1 2 21 4 16 21
33 1 3 21 4 16 21
33 1 2 22 3 16 21
33 1 1 22 5 16 21
33 1 2 22 5 16 21
33 1 3 23 3 16 21
33 1 3 23 5 16 21
33 1 1 23 6 16 21
33 1 2 23 6 16 21
33 1 2 24 2 16 21
33 1 3 24 2 16 21
33 1 1 24 3 16 21
33 1 1 24 4 16 21
33 1 4 24 4 16 21
33 1 4 24 5 16 21
33 1 3 24 6 16 21
33 1 4 24 6 16 21
34 2 3 21 2 16 21
34 2 1 21 3 16 21
34 2 2 21 3 16 21
34 2 4 21 4 16 21
34 2 2 21 5 16 21
34 2 1 22 2 16 21
34 2 3 22 3 16 21
34 2 2 22 6 16 21
34 2 4 23 2 16 21
34 2 4 24 6 16 21
35 2 2 21 2 16 21
35 2 1 22 3 16 21
35 2 3 22 4 16 21
35 2 4 22 5 16 21
35 2 1 23 2 16 21
35 2 4 23 2 16 21
35 2 3 23 3 16 21
35 2 4 23 6 16 21
35 2 2 24 3 16 21
35 2 2 24 6 16 21
36 3 4 21 4 20 21
36 3 2 21 5 20 21
36 3 3 21 5 20 21
36 3 2 21 6 20 21
36 3 3 21 6 20 21
36 3 4 22 2 20 21
36 3 1 22 4 20 21
36 3 2 22 4 20 21
36 3 1 22 6 20 21
36 3 1 23 2 20 21
36 3 2 23 2 20 21
36 3 3 23 3 20 21
36 3 4 23 3 20 21
36 3 1 24 3 20 21
36 3 3 24 4 20 21
36 3 4 24 5 20 21
37 3 2 21 4 20 21
37 3 1 22 2 20 21
37 3 1 22 4 20 21
37 3 2 22 5 20 21
37 3 3 22 5 20 21
37 3 3 22 6 20 21
37 3 4 22 6 20 21
37 3 2 23 2 20 21
37 3 4 23 2 20 21
37 3 3 23 3 20 21
37 3 4 23 3 20 21
37 3 3 23 4 20 21
37 3 4 23 4 20 21
37 3 2 23 6 20 21
37 3 1 24 3 20 21
37 3 1 24 5 20 21
38 2 1 23 3 16 23
38 2 2 23 6 16 23
38 2 4 24 4 16 23
38 2 2 24 5 16 23
38 2 1 25 4 16 23
38 2 2 26 2 16 23
38 2 4 26 3 16 23
38 2 3 26 4 16 23
38 2 3 26 5 16 23
38 2 4 26 5 16 23
39 3 1 23 4 20 23
39 3 2 23 4 20 23
39 3 2 24 3 20 23
39 3 4 24 3 20 23
39 3 3 24 4 20 23
39 3 1 25 2 20 23
39 3 4 25 2 20 23
39 3 1 25 3 20 23
39 3 3 25 3 20 23
39 3 1 25 5 20 23
39 3 4 25 5 20 23
39 3 3 26 2 20 23
39 3 4 26 4 20 23
39 3 2 26 5 20 23
39 3 2 26 6 20 23
39 3 3 26 6 20 23
40 3 2 24 3 20 24
40 3 1 24 4 20 24
40 3 2 24 5 20 24
40 3 3 24 5 20 24
40 3 2 25 2 20 24
40 3 3 25 2 20 24
40 3 4 25 3 20 24
40 3 1 25 5 20 24
40 3 4 25 5 20 24
40 3 4 25 6 20 24
40 3 2 26 6 20 24
40 3 1 27 2 20 24
40 3 4 27 2 20 24
40 3 3 27 3 20 24
40 3 1 27 6 20 24
40 3 3 27 6 20 24
41 3 1 24 2 20 24
41 3 2 24 2 20 24
41 3 3 24 2 20 24
41 3 2 24 3 20 24
41 3 1 24 4 20 24
41 3 3 24 4 20 24
41 3 3 24 5 20 24
41 3 2 24 6 20 24
41 3 1 25 3 20 24
41 3 4 25 3 20 24
41 3 4 25 4 20 24
41 3 2 26 4 20 24
41 3 4 27 2 20 24
41 3 1 27 6 20 24
41 3 3 27 6 20 24
41 3 4 27 6 20 24
42 3 3 24 2 20 24
42 3 4 24 2 20 24
42 3 2 24 3 20 24
42 3 3 24 3 20 24
42 3 1 24 4 20 24
42 3 2 24 4 20 24
42 3 1 24 6 20 24
42 3 2 25 2 20 24
42 3 1 25 5 20 24
42 3 4 26 4 20 24
42 3 3 26 5 20 24
42 3 4 26 6 20 24
42 3 1 27 3 20 24
42 3 4 27 3 20 24
42 3 2 27 5 20 24
42 3 3 27 6 20 24
43 3 2 25 2 20 25
43 3 3 25 4 20 25
43 3 2 25 5 20 25
43 3 3 25 5 20 25
43 3 4 26 4 20 25
43 3 1 26 5 20 25
43 3 1 26 6 20 25
43 3 2 26 6 20 25
43 3 3 27 2 20 25
43 3 4 27 2 20 25
43 3 4 27 3 20 25
43 3 4 27 5 20 25
43 3 1 28 2 20 25
43 3 2 28 3 20 25
43 3 3 28 3 20 25
43 3 1 28 4 20 25
44 2 3 27 3 16 27
44 2 4 27 5 16 27
