tournum,tourtype,tot_shifts,tot_periods,startwin,tot_hours,tot_ftes,Su-1,Mo-1,Tu-1,We-1,Th-1,Fr-1,Sa-1,Su-2,Mo-2,Tu-2,We-2,Th-2,Fr-2,Sa-2,Su-3,Mo-3,Tu-3,We-3,Th-3,Fr-3,Sa-3,Su-4,Mo-4,Tu-4,We-4,Th-4,Fr-4,Sa-4
30,2,10,160,20,80.0,0.5,x,x,1000-1800,x,0930-1730,x,x,x,1000-1800,x,1000-1800,x,0930-1730,x,x,1000-1800,x,x,0930-1730,x,x,x,x,x,1000-1800,1000-1800,0930-1730,x
31,3,16,320,20,160.0,1.0,x,0930-1930,0930-1930,x,0930-1930,0930-1930,x,x,1000-2000,x,0930-1930,0930-1930,0930-1930,x,x,1000-2000,0930-1930,x,1000-2000,1000-2000,x,x,1000-2000,x,0930-1930,1000-2000,1000-2000,x
32,3,16,320,20,160.0,1.0,x,x,1000-2000,1000-2000,0930-1930,0930-1930,x,x,1000-2000,1000-2000,0930-1930,0930-1930,x,x,x,0930-1930,0930-1930,x,0930-1930,1000-2000,x,x,1000-2000,0930-1930,1000-2000,x,1000-2000,x
33,3,16,320,20,160.0,1.0,x,x,1000-2000,0930-1930,1000-2000,1000-2000,x,x,x,1000-2000,0930-1930,0930-1930,1000-2000,x,x,1000-2000,x,1000-2000,0930-1930,1000-2000,x,x,1000-2000,x,1000-2000,1000-2000,1000-2000,x
34,3,16,320,20,160.0,1.0,x,0930-1930,1000-2000,0930-1930,1000-2000,x,x,x,x,1000-2000,0930-1930,1000-2000,1000-2000,x,x,1000-2000,1000-2000,1000-2000,x,0930-1930,x,x,0930-1930,x,0930-1930,1000-2000,1000-2000,x
35,2,10,160,21,80.0,0.5,x,1030-1830,x,1030-1830,x,x,x,x,1030-1830,x,x,1030-1830,1030-1830,x,x,1000-1800,x,1000-1800,x,x,x,x,1000-1800,x,x,1030-1830,1030-1830,x
36,2,10,160,21,80.0,0.5,x,1030-1830,x,1030-1830,x,x,x,x,x,1000-1800,1030-1830,1030-1830,x,x,x,1030-1830,x,x,x,1030-1830,x,x,1030-1830,x,1000-1800,x,1000-1800,x
37,3,16,320,21,160.0,1.0,x,1000-2000,1000-2000,x,1000-2000,1030-2030,x,x,1030-2030,x,1000-2000,1030-2030,1000-2000,x,x,1000-2000,1030-2030,x,1000-2000,1030-2030,x,x,1000-2000,x,1030-2030,1000-2000,1030-2030,x
38,2,10,160,23,80.0,0.5,x,1130-1930,x,x,1100-1900,x,x,x,1130-1930,1100-1900,1130-1930,x,x,x,x,x,x,1130-1930,x,1100-1900,x,x,x,1100-1900,1100-1900,x,1100-1900,x
39,2,10,160,23,80.0,0.5,x,x,x,1100-1900,1100-1900,x,x,x,1100-1900,1130-1930,x,1100-1900,x,x,x,x,1130-1930,1130-1930,x,x,x,x,1100-1900,x,1100-1900,x,1130-1930,x
40,2,10,160,23,80.0,0.5,x,x,1130-1930,x,1130-1930,x,x,x,1130-1930,1130-1930,x,x,1100-1900,x,x,x,x,1100-1900,x,1100-1900,x,x,x,x,1130-1930,1130-1930,1100-1900,x
41,2,10,160,23,80.0,0.5,x,x,1100-1900,x,1100-1900,x,x,x,x,1100-1900,1130-1930,x,1100-1900,x,x,1100-1900,x,1100-1900,x,x,x,x,1130-1930,x,1100-1900,1100-1900,x,x
42,2,10,160,23,80.0,0.5,x,x,x,x,1100-1900,1130-1930,x,x,x,1100-1900,x,1100-1900,1100-1900,x,x,x,x,1130-1930,1100-1900,x,x,x,x,x,1100-1900,1130-1930,1100-1900,x
43,3,16,320,23,160.0,1.0,x,1130-2130,1130-2130,x,1100-2100,1130-2130,x,x,1130-2130,1100-2100,x,1100-2100,1130-2130,x,x,1100-2100,1130-2130,1130-2130,1130-2130,x,x,x,x,1130-2130,1100-2100,1130-2130,1130-2130,x
44,3,16,320,23,160.0,1.0,x,1100-2100,1100-2100,1100-2100,1130-2130,x,x,x,1130-2130,x,1100-2100,1130-2130,1130-2130,x,x,1130-2130,x,1130-2130,1130-2130,1130-2130,x,x,1100-2100,1130-2130,x,1100-2100,1130-2130,x
45,3,16,320,25,160.0,1.0,x,1200-2200,1200-2200,x,1230-2230,1230-2230,x,x,1200-2200,x,1230-2230,1200-2200,1200-2200,x,x,1230-2230,1200-2200,1200-2200,x,1230-2230,x,x,x,1230-2230,1200-2200,1230-2230,1200-2200,x
46,3,16,320,26,160.0,1.0,x,1230-2230,1300-2300,1230-2230,x,1230-2230,x,x,x,1300-2300,1230-2230,1230-2230,1230-2230,x,x,1230-2230,1300-2300,1230-2230,1300-2300,x,x,x,1230-2230,1300-2300,1230-2230,1300-2300,x,x
47,2,10,160,27,80.0,0.5,x,1300-2100,x,x,1330-2130,x,x,x,x,1330-2130,1330-2130,1300-2100,x,x,x,1330-2130,x,x,x,1300-2100,x,x,x,1330-2130,x,1300-2100,1330-2130,x
48,3,16,320,27,160.0,1.0,x,1330-2330,1300-2300,1300-2300,x,1330-2330,x,x,1300-2300,x,1300-2300,1330-2330,1300-2300,x,x,1300-2300,1330-2330,1330-2330,x,1330-2330,x,x,1300-2300,1330-2330,1300-2300,x,1300-2300,x
49,1,20,320,29,160.0,1.0,x,1430-2230,1400-2200,1430-2230,1400-2200,1430-2230,x,x,1430-2230,1400-2200,1430-2230,1430-2230,1430-2230,x,x,1430-2230,1400-2200,1400-2200,1400-2200,1400-2200,x,x,1400-2200,1400-2200,1430-2230,1430-2230,1430-2230,x
50,1,20,320,29,160.0,1.0,x,1430-2230,1400-2200,1400-2200,1430-2230,1400-2200,x,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x,x,1400-2200,1400-2200,1430-2230,1400-2200,1430-2230,x,x,1400-2200,1400-2200,1400-2200,1400-2200,1400-2200,x
51,1,20,320,29,160.0,1.0,x,1430-2230,1400-2200,1430-2230,1400-2200,1430-2230,x,x,1400-2200,1400-2200,1400-2200,1400-2200,1400-2200,x,x,1430-2230,1430-2230,1430-2230,1430-2230,1430-2230,x,x,1400-2200,1400-2200,1400-2200,1400-2200,1400-2200,x
52,1,20,320,31,160.0,1.0,x,1500-2300,1500-2300,1530-2330,1500-2300,1530-2330,x,x,1500-2300,1500-2300,1530-2330,1530-2330,1530-2330,x,x,1530-2330,1530-2330,1500-2300,1530-2330,1530-2330,x,x,1530-2330,1530-2330,1500-2300,1500-2300,1530-2330,x
53,2,10,160,31,80.0,0.5,x,x,x,x,1530-2330,1530-2330,x,x,x,1530-2330,1530-2330,x,1530-2330,x,x,x,x,1500-2300,x,1530-2330,x,x,x,1530-2330,1530-2330,x,1530-2330,x
54,1,20,320,32,160.0,1.0,x,1530-2330,1530-2330,1530-2330,1600-0000,1600-0000,x,x,1530-2330,1600-0000,1530-2330,1600-0000,1530-2330,x,x,1600-0000,1530-2330,1530-2330,1600-0000,1530-2330,x,x,1530-2330,1600-0000,1600-0000,1600-0000,1530-2330,x
55,2,10,160,32,80.0,0.5,x,1530-2330,x,x,x,1600-0000,x,x,x,x,1600-0000,1530-2330,1600-0000,x,x,x,x,1530-2330,x,1530-2330,x,x,x,1530-2330,1600-0000,1600-0000,x,x
56,3,16,320,39,160.0,1.0,x,1900-0500,1900-0500,x,1900-0500,1930-0530,x,x,1900-0500,x,1930-0530,1900-0500,1930-0530,x,x,1900-0500,1930-0530,1900-0500,x,1900-0500,x,x,1900-0500,x,1900-0500,1930-0530,1900-0500,x
57,1,20,320,43,160.0,1.0,x,2100-0500,2130-0530,2130-0530,2100-0500,2100-0500,x,x,2130-0530,2130-0530,2130-0530,2130-0530,2130-0530,x,x,2100-0500,2130-0530,2100-0500,2130-0530,2100-0500,x,x,2130-0530,2130-0530,2130-0530,2100-0500,2130-0530,x
58,2,10,160,43,80.0,0.5,x,x,x,2100-0500,x,2100-0500,x,x,2130-0530,2100-0500,x,2100-0500,x,x,x,2130-0530,2100-0500,x,x,x,x,x,x,x,2130-0530,2100-0500,2100-0500,x
59,2,10,160,43,80.0,0.5,x,x,2100-0500,x,2130-0530,x,x,x,x,2100-0500,2100-0500,x,2130-0530,x,x,x,x,2100-0500,x,2130-0530,x,x,2100-0500,x,2130-0530,x,2130-0530,x
60,2,10,160,47,80.0,0.5,x,x,x,2300-0700,x,2300-0700,x,x,x,2300-0700,2300-0700,x,2330-0730,x,x,2300-0700,x,2330-0730,x,x,x,x,2300-0700,2300-0700,2300-0700,x,x,x
61,2,10,160,47,80.0,0.5,x,x,x,x,2300-0700,2330-0730,x,x,2300-0700,2300-0700,x,x,2300-0700,x,x,x,2300-0700,x,2300-0700,x,x,x,2300-0700,x,x,2330-0730,2330-0730,x
62,2,10,160,47,80.0,0.5,x,x,x,x,2300-0700,2300-0700,x,x,2330-0730,x,2300-0700,x,2300-0700,x,x,x,x,2300-0700,2330-0730,x,x,x,x,x,2330-0730,2330-0730,2330-0730,x
