tournum,tourtype,tot_shifts,tot_periods,startwin,tot_hours,tot_ftes,Su-1,Mo-1,Tu-1,We-1,Th-1,Fr-1,Sa-1,Su-2,Mo-2,Tu-2,We-2,Th-2,Fr-2,Sa-2,Su-3,Mo-3,Tu-3,We-3,Th-3,Fr-3,Sa-3,Su-4,Mo-4,Tu-4,We-4,Th-4,Fr-4,Sa-4
34,2,10,160,21,80.0,0.5,x,1030-1830,1000-1800,x,x,x,x,x,x,1000-1800,x,1000-1800,1030-1830,x,x,1000-1800,1030-1830,x,x,x,x,x,1100-1900,x,1000-1800,x,1130-1930,x
35,2,10,160,21,80.0,0.5,x,1100-1900,1030-1830,x,x,x,x,x,1000-1800,1130-1930,x,x,1130-1930,x,x,x,1100-1900,1030-1830,x,x,x,x,1100-1900,x,x,1030-1830,1100-1900,x
36,3,16,320,21,160.0,1.0,x,1100-2100,1130-2130,1030-2030,x,1030-2030,x,x,1100-2100,x,1030-2030,1000-2000,1000-2000,x,x,x,1100-2100,1130-2130,1000-2000,1000-2000,x,x,1030-2030,1100-2100,1000-2000,1130-2130,x,x
37,3,16,320,21,160.0,1.0,x,1030-2030,1130-2130,1030-2030,1130-2130,x,x,x,1100-2100,x,1000-2000,1030-2030,1100-2100,x,x,x,1100-2100,1100-2100,1030-2030,1030-2030,x,x,1100-2100,1100-2100,1100-2100,x,1030-2030,x
38,2,10,160,23,80.0,0.5,x,x,1100-1900,1200-2000,x,x,x,x,1230-2030,x,x,1130-1930,1100-1900,x,x,x,x,1230-2030,1230-2030,x,x,x,x,1230-2030,1130-1930,1230-2030,x,x
39,3,16,320,23,160.0,1.0,x,1200-2200,1200-2200,1100-2100,1200-2200,x,x,x,x,1130-2130,1100-2100,1230-2230,1230-2230,x,x,1230-2230,1200-2200,1130-2130,x,1230-2230,x,x,1200-2200,1130-2130,1230-2230,1200-2200,x,x
40,3,16,320,24,160.0,1.0,x,1300-2300,x,1130-2130,1200-2200,1300-2300,x,x,1200-2200,1130-2130,x,1130-2130,1230-2230,x,x,1200-2200,1300-2300,x,1130-2130,1300-2300,x,x,1300-2300,1200-2200,x,1200-2200,1200-2200,x
41,3,16,320,24,160.0,1.0,x,1130-2130,1200-2200,1130-2130,x,1300-2300,x,x,1130-2130,1130-2130,1230-2230,x,1130-2130,x,x,1130-2130,x,1130-2130,1130-2130,1300-2300,x,x,1300-2300,1200-2200,1200-2200,x,1300-2300,x
42,3,16,320,24,160.0,1.0,x,x,1300-2300,1130-2130,1200-2200,1130-2130,x,x,1200-2200,1130-2130,1130-2130,1300-2300,x,x,x,1130-2130,1130-2130,x,1230-2230,1300-2300,x,x,1130-2130,1300-2300,1230-2230,x,1230-2230,x
43,3,16,320,25,160.0,1.0,x,1330-2330,x,1330-2330,1230-2230,1230-2230,x,x,1200-2200,1330-2330,x,1200-2200,1230-2230,x,x,1300-2300,1330-2330,1200-2200,1200-2200,x,x,x,1300-2300,1300-2300,1230-2230,1300-2300,x,x
44,2,10,160,27,80.0,0.5,x,1430-2230,x,x,x,1400-2200,x,x,x,x,1430-2230,1400-2200,1330-2130,x,x,x,1300-2100,x,x,1330-2130,x,x,x,x,1330-2130,1300-2100,1430-2230,x
45,1,20,320,29,160.0,1.0,x,1400-2200,1400-2200,1400-2200,1400-2200,1530-2330,x,x,1430-2230,1400-2200,1400-2200,1430-2230,1430-2230,x,x,1530-2330,1400-2200,1500-2300,1500-2300,1430-2230,x,x,1500-2300,1400-2200,1430-2230,1430-2230,1400-2200,x
46,1,20,320,29,160.0,1.0,x,1400-2200,1530-2330,1530-2330,1530-2330,1430-2230,x,x,1400-2200,1400-2200,1500-2300,1400-2200,1530-2330,x,x,1500-2300,1500-2300,1500-2300,1530-2330,1500-2300,x,x,1430-2230,1500-2300,1500-2300,1530-2330,1430-2230,x
47,2,10,160,29,80.0,0.5,x,1500-2300,x,x,x,1530-2330,x,x,1400-2200,1530-2330,1400-2200,x,x,x,x,x,x,x,1430-2230,1530-2330,x,x,x,1400-2200,x,1500-2300,1400-2200,x
48,2,10,160,29,80.0,0.5,x,x,1430-2230,x,x,1530-2330,x,x,x,1500-2300,1530-2330,x,1500-2300,x,x,1530-2330,x,x,1400-2200,x,x,x,x,x,1530-2330,1430-2230,1500-2300,x
49,1,20,320,30,160.0,1.0,x,1430-2230,1530-2330,1430-2230,1500-2300,1600-0000,x,x,1530-2330,1430-2230,1600-0000,1530-2330,1530-2330,x,x,1600-0000,1500-2300,1430-2230,1500-2300,1430-2230,x,x,1530-2330,1530-2330,1530-2330,1600-0000,1530-2330,x
50,2,10,160,30,80.0,0.5,x,x,x,1430-2230,x,1530-2330,x,x,x,1530-2330,1600-0000,x,1530-2330,x,x,1500-2300,x,x,x,1430-2230,x,x,x,1530-2330,1600-0000,x,1500-2300,x
51,2,10,160,30,80.0,0.5,x,1600-0000,1600-0000,x,x,x,x,x,x,1530-2330,1600-0000,x,1500-2300,x,x,x,x,x,1530-2330,1530-2330,x,x,1530-2330,1500-2300,x,1530-2330,x,x
52,2,10,160,30,80.0,0.5,x,x,1600-0000,x,x,1430-2230,x,x,1530-2330,x,x,1600-0000,1430-2230,x,x,x,x,1430-2230,x,1430-2230,x,x,1600-0000,x,x,1430-2230,1500-2300,x
53,2,10,160,30,80.0,0.5,x,x,1600-0000,1430-2230,x,x,x,x,1530-2330,1600-0000,x,x,1530-2330,x,x,x,1430-2230,x,1600-0000,x,x,x,1430-2230,x,1530-2330,1500-2300,x,x
54,3,16,320,39,160.0,1.0,x,1930-0530,x,1900-0500,2030-0630,2000-0600,x,x,2030-0630,x,2000-0600,2030-0630,1930-0530,x,x,1900-0500,2030-0630,1930-0530,2000-0600,x,x,x,1930-0530,2030-0630,1930-0530,2030-0630,x,x
55,3,16,320,39,160.0,1.0,x,2000-0600,2000-0600,2030-0630,1930-0530,x,x,x,x,1930-0530,2030-0630,1930-0530,1930-0530,x,x,x,2030-0630,2000-0600,1900-0500,2030-0630,x,x,x,2030-0630,1900-0500,2030-0630,2030-0630,x
56,2,10,160,43,80.0,0.5,x,2100-0500,x,x,x,2130-0530,x,x,x,2230-0630,2200-0600,x,2130-0530,x,x,2200-0600,x,x,2200-0600,x,x,x,2130-0530,x,x,2130-0530,2130-0530,x
57,2,10,160,43,80.0,0.5,x,2200-0600,x,2130-0530,x,x,x,x,2200-0600,x,2200-0600,x,2130-0530,x,x,x,x,2230-0630,2100-0500,x,x,x,x,2200-0600,2200-0600,x,2230-0630,x
58,2,10,160,44,80.0,0.5,x,2200-0600,x,2230-0630,x,x,x,x,x,2300-0700,x,2200-0600,2200-0600,x,x,x,x,x,2200-0600,2200-0600,x,x,2130-0530,2230-0630,2130-0530,x,x,x
59,2,10,160,44,80.0,0.5,x,2300-0700,x,2200-0600,x,x,x,x,2300-0700,2300-0700,x,x,2230-0630,x,x,x,x,2230-0630,2230-0630,x,x,x,2230-0630,x,2300-0700,2200-0600,x,x
60,2,10,160,44,80.0,0.5,x,2230-0630,2230-0630,x,x,x,x,x,x,2300-0700,x,2300-0700,2130-0530,x,x,x,2300-0700,x,x,2130-0530,x,x,2300-0700,2130-0530,2200-0600,x,x,x
61,2,10,160,45,80.0,0.5,x,x,2230-0630,x,2300-0700,x,x,x,2230-0630,2330-0730,x,2200-0600,x,x,x,2300-0700,x,x,x,2200-0600,x,x,x,x,2330-0730,2330-0730,2330-0730,x
